in:Angle,in:North_shade_depth,in:East_shade_depth,in:South_shade_depth,in:West_shade_depth,in:shade_count,out:cooling load intensity,out:heating load intensity,img
65,.3,.3,.1,.1,2,43.403996955,4.228733743,Angle65_North_shade_depth.3_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.4,.3,.1,.1,2,43.820048539,4.144945413,Angle0_North_shade_depth.4_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.4,.3,.1,.1,2,43.366045428,4.204200505,Angle25_North_shade_depth.4_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.4,.3,.1,.1,2,43.229825614,4.231218091,Angle45_North_shade_depth.4_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.4,.3,.1,.1,2,43.339504334,4.233255302,Angle65_North_shade_depth.4_East_shade_depth.3_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.1,.4,.1,.1,2,43.768197013,4.156653037,Angle0_North_shade_depth.1_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.1,.4,.1,.1,2,43.339703157,4.220293329,Angle25_North_shade_depth.1_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.1,.4,.1,.1,2,43.212310585,4.248562668,Angle45_North_shade_depth.1_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.1,.4,.1,.1,2,43.306561814,4.25082884,Angle65_North_shade_depth.1_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.2,.4,.1,.1,2,43.728447823,4.157916409,Angle0_North_shade_depth.2_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.2,.4,.1,.1,2,43.276726002,4.223431004,Angle25_North_shade_depth.2_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.2,.4,.1,.1,2,43.136802919,4.252823706,Angle45_North_shade_depth.2_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.2,.4,.1,.1,2,43.225607067,4.255710683,Angle65_North_shade_depth.2_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.3,.4,.1,.1,2,43.697053492,4.158966362,Angle0_North_shade_depth.3_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.3,.4,.1,.1,2,43.224843398,4.226304805,Angle25_North_shade_depth.3_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.3,.4,.1,.1,2,43.071255956,4.256871546,Angle45_North_shade_depth.3_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.3,.4,.1,.1,2,43.152122637,4.260518301,Angle65_North_shade_depth.3_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.4,.4,.1,.1,2,43.673506484,4.159910644,Angle0_North_shade_depth.4_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
25,.4,.4,.1,.1,2,43.18430499,4.228886559,Angle25_North_shade_depth.4_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
45,.4,.4,.1,.1,2,43.018786824,4.260596596,Angle45_North_shade_depth.4_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
65,.4,.4,.1,.1,2,43.087412792,4.265152223,Angle65_North_shade_depth.4_East_shade_depth.4_South_shade_depth.1_West_shade_depth.1_shade_count2.png
0,.1,.1,.2,.1,2,44.037567811,4.142413185,Angle0_North_shade_depth.1_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.1,.1,.2,.1,2,43.724694912,4.199371702,Angle25_North_shade_depth.1_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.1,.1,.2,.1,2,43.665125826,4.223143947,Angle45_North_shade_depth.1_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.1,.1,.2,.1,2,43.80507378,4.221009488,Angle65_North_shade_depth.1_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.2,.1,.2,.1,2,43.997962685,4.143518191,Angle0_North_shade_depth.2_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.2,.1,.2,.1,2,43.662459783,4.202161395,Angle25_North_shade_depth.2_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.2,.1,.2,.1,2,43.590579898,4.226960818,Angle45_North_shade_depth.2_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.2,.1,.2,.1,2,43.724892517,4.225382715,Angle65_North_shade_depth.2_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.3,.1,.2,.1,2,43.966671744,4.144458991,Angle0_North_shade_depth.3_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.3,.1,.2,.1,2,43.610938585,4.204739657,Angle25_North_shade_depth.3_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.3,.1,.2,.1,2,43.52563247,4.230605487,Angle45_North_shade_depth.3_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.3,.1,.2,.1,2,43.652046877,4.229722464,Angle65_North_shade_depth.3_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.4,.1,.2,.1,2,43.943197924,4.145299472,Angle0_North_shade_depth.4_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.4,.1,.2,.1,2,43.570700845,4.207083603,Angle25_North_shade_depth.4_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.4,.1,.2,.1,2,43.473601502,4.233996659,Angle45_North_shade_depth.4_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.4,.1,.2,.1,2,43.587881618,4.233919812,Angle65_North_shade_depth.4_East_shade_depth.1_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.1,.2,.2,.1,2,43.808787781,4.16233246,Angle0_North_shade_depth.1_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.1,.2,.2,.1,2,43.424048051,4.229929343,Angle25_North_shade_depth.1_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.1,.2,.2,.1,2,43.334020955,4.258084982,Angle45_North_shade_depth.1_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.1,.2,.2,.1,2,43.486270974,4.25544167,Angle65_North_shade_depth.1_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.2,.2,.2,.1,2,43.769264198,4.16349929,Angle0_North_shade_depth.2_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.2,.2,.2,.1,2,43.36151797,4.232840424,Angle25_North_shade_depth.2_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.2,.2,.2,.1,2,43.259096461,4.262066679,Angle45_North_shade_depth.2_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.2,.2,.2,.1,2,43.405951133,4.259972021,Angle65_North_shade_depth.2_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.3,.2,.2,.1,2,43.738052347,4.16448696,Angle0_North_shade_depth.3_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.3,.2,.2,.1,2,43.309989281,4.235523473,Angle25_North_shade_depth.3_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.3,.2,.2,.1,2,43.194039856,4.265895387,Angle45_North_shade_depth.3_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.3,.2,.2,.1,2,43.33300493,4.264510875,Angle65_North_shade_depth.3_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.4,.2,.2,.1,2,43.714634455,4.165360717,Angle0_North_shade_depth.4_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.4,.2,.2,.1,2,43.26971143,4.2379697,Angle25_North_shade_depth.4_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.4,.2,.2,.1,2,43.141860927,4.269441221,Angle45_North_shade_depth.4_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.4,.2,.2,.1,2,43.268803327,4.268873501,Angle65_North_shade_depth.4_East_shade_depth.2_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.1,.3,.2,.1,2,43.616353484,4.180159842,Angle0_North_shade_depth.1_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.1,.3,.2,.1,2,43.167155105,4.257890577,Angle25_North_shade_depth.1_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.1,.3,.2,.1,2,43.047559643,4.292118592,Angle45_North_shade_depth.1_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.1,.3,.2,.1,2,43.190072924,4.291831192,Angle65_North_shade_depth.1_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.2,.3,.2,.1,2,43.576715916,4.181368894,Angle0_North_shade_depth.2_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.2,.3,.2,.1,2,43.104386611,4.260945203,Angle25_North_shade_depth.2_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.2,.3,.2,.1,2,42.972320381,4.296297288,Angle45_North_shade_depth.2_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.2,.3,.2,.1,2,43.109488938,4.296601088,Angle65_North_shade_depth.2_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.3,.3,.2,.1,2,43.54540521,4.182389701,Angle0_North_shade_depth.3_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.3,.3,.2,.1,2,43.052647449,4.263752843,Angle25_North_shade_depth.3_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.3,.3,.2,.1,2,42.907014604,4.300266153,Angle45_North_shade_depth.3_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.3,.3,.2,.1,2,43.036318903,4.301307102,Angle65_North_shade_depth.3_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.4,.3,.2,.1,2,43.521914279,4.183288739,Angle0_North_shade_depth.4_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.4,.3,.2,.1,2,43.012190024,4.26629373,Angle25_North_shade_depth.4_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.4,.3,.2,.1,2,42.854715035,4.303916329,Angle45_North_shade_depth.4_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.4,.3,.2,.1,2,42.97182971,4.305827484,Angle65_North_shade_depth.4_East_shade_depth.3_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.1,.4,.2,.1,2,43.470246486,4.195603417,Angle0_North_shade_depth.1_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.1,.4,.2,.1,2,42.986094452,4.283385745,Angle25_North_shade_depth.1_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.1,.4,.2,.1,2,42.837423766,4.32260261,Angle45_North_shade_depth.1_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.1,.4,.2,.1,2,42.939072881,4.324888346,Angle65_North_shade_depth.1_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.2,.4,.2,.1,2,43.430497257,4.196866451,Angle0_North_shade_depth.2_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.2,.4,.2,.1,2,42.923117562,4.286522814,Angle25_North_shade_depth.2_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.2,.4,.2,.1,2,42.76191533,4.326861536,Angle45_North_shade_depth.2_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.2,.4,.2,.1,2,42.858117332,4.3297669,Angle65_North_shade_depth.2_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.3,.4,.2,.1,2,43.399102871,4.197916463,Angle0_North_shade_depth.3_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.3,.4,.2,.1,2,42.871234863,4.289395916,Angle25_North_shade_depth.3_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.3,.4,.2,.1,2,42.696368649,4.330908939,Angle45_North_shade_depth.3_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.3,.4,.2,.1,2,42.784633156,4.334572871,Angle65_North_shade_depth.3_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.4,.4,.2,.1,2,43.375549344,4.198862424,Angle0_North_shade_depth.4_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
25,.4,.4,.2,.1,2,42.830696198,4.29197981,Angle25_North_shade_depth.4_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
45,.4,.4,.2,.1,2,42.643899572,4.334634363,Angle45_North_shade_depth.4_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
65,.4,.4,.2,.1,2,42.719927022,4.339206421,Angle65_North_shade_depth.4_East_shade_depth.4_South_shade_depth.2_West_shade_depth.1_shade_count2.png
0,.1,.1,.3,.1,2,43.829778186,4.183079246,Angle0_North_shade_depth.1_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.1,.1,.3,.1,2,43.488737828,4.268037734,Angle25_North_shade_depth.1_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.1,.1,.3,.1,2,43.396377065,4.304093608,Angle45_North_shade_depth.1_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.1,.1,.3,.1,2,43.506215449,4.301099421,Angle65_North_shade_depth.1_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.2,.1,.3,.1,2,43.790170965,4.184183867,Angle0_North_shade_depth.2_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.2,.1,.3,.1,2,43.426502028,4.270829751,Angle25_North_shade_depth.2_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.2,.1,.3,.1,2,43.321830562,4.307913079,Angle45_North_shade_depth.2_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.2,.1,.3,.1,2,43.426027672,4.305474353,Angle65_North_shade_depth.2_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.3,.1,.3,.1,2,43.758879975,4.185124864,Angle0_North_shade_depth.3_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.3,.1,.3,.1,2,43.374980555,4.273408619,Angle25_North_shade_depth.3_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.3,.1,.3,.1,2,43.256886498,4.311598217,Angle45_North_shade_depth.3_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.3,.1,.3,.1,2,43.353199513,4.309854548,Angle65_North_shade_depth.3_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.4,.1,.3,.1,2,43.73540612,4.185965377,Angle0_North_shade_depth.4_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.4,.1,.3,.1,2,43.334742722,4.275750396,Angle25_North_shade_depth.4_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.4,.1,.3,.1,2,43.20485575,4.31498906,Angle45_North_shade_depth.4_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.4,.1,.3,.1,2,43.289036052,4.314052003,Angle65_North_shade_depth.4_East_shade_depth.1_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.1,.2,.3,.1,2,43.601043005,4.203792609,Angle0_North_shade_depth.1_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.1,.2,.3,.1,2,43.188429729,4.30032069,Angle25_North_shade_depth.1_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.1,.2,.3,.1,2,43.065750462,4.341052254,Angle45_North_shade_depth.1_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.1,.2,.3,.1,2,43.187758957,4.33744196,Angle65_North_shade_depth.1_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.2,.2,.3,.1,2,43.561517927,4.204956859,Angle0_North_shade_depth.2_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.2,.2,.3,.1,2,43.125899655,4.303229244,Angle25_North_shade_depth.2_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.2,.2,.3,.1,2,42.990825233,4.345037652,Angle45_North_shade_depth.2_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.2,.2,.3,.1,2,43.107434152,4.341987349,Angle65_North_shade_depth.2_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.3,.2,.3,.1,2,43.530306056,4.205944589,Angle0_North_shade_depth.3_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.3,.2,.3,.1,2,43.07437071,4.305913026,Angle25_North_shade_depth.3_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.3,.2,.3,.1,2,42.925771968,4.348903817,Angle45_North_shade_depth.3_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.3,.2,.3,.1,2,43.034492418,4.346568299,Angle65_North_shade_depth.3_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.4,.2,.3,.1,2,43.506888192,4.20681787,Angle0_North_shade_depth.4_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.4,.2,.3,.1,2,43.034093077,4.308357616,Angle25_North_shade_depth.4_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.4,.2,.3,.1,2,42.873592647,4.352452022,Angle45_North_shade_depth.4_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.4,.2,.3,.1,2,42.970291797,4.35092851,Angle65_North_shade_depth.4_East_shade_depth.2_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.1,.3,.3,.1,2,43.408670966,4.222396844,Angle0_North_shade_depth.1_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.1,.3,.3,.1,2,42.931894722,4.329532902,Angle25_North_shade_depth.1_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.1,.3,.3,.1,2,42.779703098,4.376847292,Angle45_North_shade_depth.1_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.1,.3,.3,.1,2,42.891938812,4.375692121,Angle65_North_shade_depth.1_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.2,.3,.3,.1,2,43.369033361,4.223605508,Angle0_North_shade_depth.2_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.2,.3,.3,.1,2,42.869126624,4.332589247,Angle25_North_shade_depth.2_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.2,.3,.3,.1,2,42.704463124,4.381025531,Angle45_North_shade_depth.2_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
65,.2,.3,.3,.1,2,42.81134949,4.380473645,Angle65_North_shade_depth.2_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
0,.3,.3,.3,.1,2,43.337722148,4.224626207,Angle0_North_shade_depth.3_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
25,.3,.3,.3,.1,2,42.817371445,4.335396855,Angle25_North_shade_depth.3_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
45,.3,.3,.3,.1,2,42.639160036,4.385034236,Angle45_North_shade_depth.3_East_shade_depth.3_South_shade_depth.3_West_shade_depth.1_shade_count2.png
